TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,HourOfDay,day_of_week,day_name,month,month_name,quarter,is_weekend,is_night,is_biz_hours,HoursSincePrev,days_since_last_txn,TransactionType_code,Channel_code,Occupation_code,amount_to_balance_ratio,balance_after_transaction,high_login_attempts,very_high_login_attempts,extreme_login_attempts,long_duration,very_long_duration,high_amount,very_high_amount,extreme_amount,low_balance,very_low_balance,negative_balance_after,age_category,prediction,anomaly_score,is_fraud,risk_index,fraud_confidence,risk_level
TX000001,AC00128,14.09,11-04-2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,04-11-2024 08:08,16,1,Tuesday,4,April,2,0,0,1,13743.64833,-573,0,0,0,0.002755608,5098.12,0,0,0,0,0,0,0,0,0,0,0,Elderly (60+),1,-0.420348395,Normal,0.084562528,0.420348395,Medium
TX000002,AC00455,376.24,27-06-2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,04-11-2024 08:09,16,1,Tuesday,6,June,2,0,0,1,11895.42111,-496,0,0,0,0.027343202,13382.67,0,0,0,0,0,0,0,0,0,0,0,Elderly (60+),1,-0.431870698,Normal,0.117944888,0.431870698,Medium
TX000003,AC00019,126.29,10-07-2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,04-11-2024 08:07,18,0,Monday,7,July,3,0,0,0,11581.84889,-483,0,1,3,0.112422664,996.06,0,0,0,0,0,0,0,0,1,0,0,Young (18-25),1,-0.483833019,Normal,0.268489883,0.483833019,Medium
TX000004,AC00070,184.5,05-05-2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,04-11-2024 08:09,16,4,Friday,5,May,2,0,0,1,13167.61528,-549,0,1,3,0.021528437,8384.56,0,0,0,0,0,0,0,0,0,0,0,Middle (26-40),1,-0.427018095,Normal,0.103885951,0.427018095,Medium
TX000005,AC00411,13.45,16-10-2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,04-11-2024 08:06,17,0,Monday,10,October,4,0,0,1,9230.254167,-385,1,1,3,0.001810131,7415.95,0,0,0,1,0,0,0,0,0,0,0,Middle (26-40),1,-0.480082628,Normal,0.257624267,0.480082628,Medium
TX000006,AC00393,92.15,03-04-2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,04-11-2024 08:06,17,0,Monday,4,April,2,0,0,1,13934.85972,-581,0,0,3,0.117736495,689.53,0,0,0,1,0,0,0,0,1,0,0,Young (18-25),1,-0.468020084,Normal,0.222676722,0.468020084,Medium
TX000007,AC00199,7.08,15-02-2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,04-11-2024 08:10,16,2,Wednesday,2,February,1,0,0,1,15063.55583,-628,1,0,0,0.000531623,13309.63,0,0,0,0,0,0,0,0,0,0,0,Middle (26-40),1,-0.469994196,Normal,0.228396109,0.469994196,Medium
TX000008,AC00069,171.42,08-05-2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,04-11-2024 08:10,17,0,Monday,5,May,2,0,0,1,13094.38222,-546,1,2,2,0.061281835,2624.82,0,0,0,1,1,0,0,0,0,0,0,Elderly (60+),1,-0.498680996,Normal,0.311507372,0.498680996,Medium
TX000009,AC00135,106.23,21-03-2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,04-11-2024 08:11,16,1,Tuesday,3,March,1,0,0,1,14247.19111,-594,1,2,1,0.01167858,8988.91,0,0,0,0,0,0,0,0,0,0,0,Senior (41-60),1,-0.435605976,Normal,0.128766718,0.435605976,Medium
TX000010,AC00385,815.96,31-03-2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,04-11-2024 08:06,16,4,Friday,3,March,1,0,0,1,14007.99306,-584,0,0,0,0.797708431,205.92,0,0,0,0,0,1,1,0,1,0,0,Senior (41-60),1,-0.535989569,Normal,0.419597594,0.535989569,High
